date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
01-09-2016,5060.75,726.7750244,543.6500244,2999,3547.600098,2277.425049,428.7999878,411.5249939,83.80000305,37231.85156
02-09-2016,5160.450195,736.7999878,549.8499756,2998.050049,3577.699951,2281.699951,436.5750122,420.3999939,83,38852.55078
06-09-2016,5319.700195,744.9249878,588.7000122,3004.800049,3614.600098,2294.830078,435.8250122,439.8500061,85.75,39535.80078
07-09-2016,5336.049805,744.375,587.4000244,2985.800049,3606.850098,2297.274902,444,444.8500061,88.5,39893.60156
08-09-2016,5489.399902,746.0499878,584.2000122,3088.699951,3703.75,2341.915039,439.3500061,436.8999939,87.75,40035.80078
09-09-2016,5403,736.2249756,573.25,3036.449951,3621.199951,2292.504883,430.875,446.5750122,87.25,40201.5
12-09-2016,5329,712.9749756,553.4500122,2954.899902,3532.800049,2274.139893,423.1000061,443.875,83.44999695,39100.19922
14-09-2016,5363.899902,705.7750244,560.5,2971.550049,3590.199951,2259.814941,430.4750061,442.625,84.40000153,40722.85156
15-09-2016,5452.399902,703.125,557.5499878,2931.75,3523.449951,2244.004883,434.9500122,438.1749878,81.59999847,41124
16-09-2016,5573.299805,703.3250122,548.7000122,2981.600098,3588.699951,2313.524902,437.6749878,414.2000122,81.09999847,40507.80078
19-09-2016,5491.899902,708.5,554.4500122,2945.850098,3564.050049,2312.925049,452.0750122,423.7250061,84.59999847,43101.64844
20-09-2016,5514.850098,704.9249878,548.4500122,2886.949951,3466.399902,2342.780029,446.2749939,415.8500061,84.05000305,43620.5
21-09-2016,5501.25,703.4500122,549.9000244,2902.649902,3459.399902,2419.86499,450.5249939,412.6000061,82.69999695,43806.64844
22-09-2016,5597.100098,706.7999878,558.4500122,2926.75,3538.550049,2480.89502,462.4249878,418.625,83.94999695,44375.85156
23-09-2016,5601.799805,705.0499878,553.0499878,2929.649902,3532.149902,2485.320068,471.5750122,426.1000061,82.65000153,45841.30078
26-09-2016,5568.899902,690.0999756,535.2999878,2891.600098,3466,2469.379883,469.3500061,425.5499878,81.80000305,45715.44922
27-09-2016,5511.399902,685.8499756,531.9500122,2875.800049,3451.25,2464.324951,473.7000122,427.8999939,81.44999695,46562.39844
28-09-2016,5521.799805,688.375,540,2913.899902,3451.5,2578.655029,471.7250061,445.8250122,81.84999847,49753.35156
29-09-2016,5438.600098,682.2000122,526.2999878,2846.399902,3428.25,2491.834961,449.2000122,456.875,76.44999695,48605.60156
30-09-2016,5477.299805,702.8499756,534.8499756,2827.600098,3413.699951,2482.780029,455.3999939,506.9500122,79.59999847,50872.55078
03-10-2016,5681,721.9249878,540.7999878,2880.899902,3521.149902,2579.625,470.2749939,507.125,83.09999847,51894.89844
04-10-2016,5680,707.6749878,549.9500122,2894.199951,3534.350098,2584.245117,462.2000122,548.3250122,81.34999847,51226.85156
05-10-2016,5689.200195,699.5999756,559.6500244,2857.949951,3491.25,2628.13501,462.5249939,572.6500244,81.65000153,53693.80078
